site_id	timeline_text
335e9a22-dc4b-467a-859a-1e6cbd25368e	75 75 75 75 75 77 75 75 74 75 75 75 75 75 75 75 75 77 75 75 75
9449a496-4498-4fb8-89db-9d22b64ed8b3	77 75 75 75 75 75 75 75
98ea9cfc-7a3c-4274-b782-56df3cb0ecec	75 75 75 75 30 30 75 75 77 77 75 75 77 77 75 75 75 42 75
8a8cf180-689c-4cc1-8800-628222a38f56	77 75 70 75 75 75 70 70 75 73 75 75 75 75 74 75 70 64 75 74 75 70 27 70 73
9d75c333-38dd-4acf-9e8c-c09700353ec2	77 69 73 77 75 75 75 75 77 75 75 75 77 77 75 75 70
ebd01f93-0304-4039-b9dd-fad9b39ec97e	61 77 77 77 77 77 77 77 77 77 77 77 77 41 34 34 34 34 34 34 69 61 34 34 34 77 34 34 34 34 34 34 34 77 41 41 41 41 41 34 34 34 34 34 34 34 34 34 34 34 34 41 34 34 34 34 34 34 34 34 34 34 77 77 77 34 34 34 75 41 34 41 77 42 70 77 77 27 75 75 34 77 34 34 41 70 34 34 34 64 64 64 77 64 70 64 64 64 64 64 64 77 77 77 77 77 75 77 30 77 70 77 34 77 41 77 28 77 77 28 77 70 75 77 77 77 77 75 70 34 77 77 41 77 41 77 77 75 75 75 77 75 70 34 41 75 77 34 34 34 70 41 75 34 77 70 71 34 70 69 73 75 75 77 41 77 77 77 77 34 77 77 77 75 34 77 34 34 75 34 41 34 77 77 34 34 34 75 34 34 70 70 41 70 41 75 34 34 71 75 75 75 70 41 75 41 75 34 34 77 75 75 34 34 73 77 34 34 70 77 70 71 70 70 75 70 75 70 77 77 41 41 41 73 69 75 34 42 77 34 28 70 28 66 70 70 75 75 28 34 28 34 34 75 75 75 75 77 41 41 41 75 75 34 75 75 75 41 41 70 75 34 34 75 75 70 75 34 77 77 77 77 77 77 77 77 77 77 77 77 77 75 74 70 75 34 34 73 75 75 75 70 70 34 75 75 70 34 75 64 34 75 70 34 70 34 34 41 75 75 70 34 75 75 34 75 75 70 77 70 75 41 41 34 75 75 30 30 30 70 70 75 75 34 41 41 70 75 34 34 75 75 41 75 70 75 75 75 75 75 75 34 41 41 70 34 70 75 75 75 75 34 34 75 75 34 75 34 70 41 41 75 75
8cff3a66-8eeb-4bc1-81d6-23ee0d7f8f6c	75 77 27
0049c3ef-3406-4dae-88f8-37783fb4b702	62 70 75 75 75 75 75 75 75 75 75 75 75 75 77 77 75 77 77 77 77 74 75 75 75 75 75 75 75 75 75 75 75 75
3a255a4c-4a7a-4737-83db-7299538b65ee	75 75 75 75 74 75 75 62 75 75 77 77 75 77 75 77 75 74 75 75 75
74a88bde-c86c-48ea-a6de-f7c3ebe0625c	75 75 75 75 75 75 77 75 75 75 75 75
883c640f-c115-479c-9eaa-96dfc626423f	77 75 75 75 75 75 75 77 77 77 75 77 75 77 75 75 74 75 75 74 75 75 77
966624c8-b5c3-4546-bb7f-33d7979f4bbe	77 77 77 77 77 77 75 75 75 75 75 28
cc83b401-4362-4aad-a15c-0d86ef3aa745	75 75 74 75 75 77 77 74 75 77 77 75 74 75 75 75 75 74 75 75 75
0d64281b-d0c3-4e3a-bf89-061d0da72029	77 75 74 10 10 75 9 9 9 75 60 9 9 9 75 75 75 75 75 74 75
31eb05f0-b9d0-4eb7-86de-6139987de549	75 75 77 77 77 74 75 75
26d8d1f8-8557-405e-a6e6-be884afc099b	77 77 28 75 75 75 75 75 28 75 65 75 75 28 75 75 75 75 28 75 65 65 75 75 65 75 75 75 77 77 77 77 77 77 77 77 77 77 77 77 77 65 65 65 75 75 28 75 75 75 65 75 28 65 75 75 75 75 75 75 65 75 75 74 75 75 77 75 75 65 75 75 77 77 77 77 77 77 77 77 75 77 65 75 75 74 75 77 75 77 75 75 65 75 65 75 77 65 75 75 74 77 75 75 75 75 75 75 65 75 70 74 75 25 75 75 75 75 65 65 75 28
87ccc113-8ffd-46c2-89fa-d211a629af5a	75 10 75 10 77
8be1bfef-a2e0-44e5-8e59-2adaaf50f560	77 77 77 75 75 73 75 75 77 77 75 75 65 75 75 75 75 75 65 75 75 75 75 65 75 75 75 75 75 65 77 75 75 77 77 65 77 77 75 75 77 75 77 75 75 77 77 77 75 73 77 75 77 77 77 77 77 77 75 75 73 77 75 75 64 75 75 73 64 75 75 75 77 75 75 75 75
b2769f16-7f33-4055-9bc8-b25451149cf1	75 75 74 75 74 75 75 77 77 77 77 75 77 77 75 75 74 75 75
