display_entity_type	entity_type	event_name	event_type	event_node_name
switch	switch_interface	negotiation_mismatch	negotiation_incomplete	eeevents_switch_switch_interface_negotiation_mismatch_negotiation_incomplete
ap	radio	radio_stuck	beacon_stuck	eeevents_ap_radio_radio_stuck_beacon_stuck
site	site	saturn_anomaly	AUTH	eeevents_site_site_saturn_anomaly_AUTH
ap	ap	ap_disconnect	locally_offline	eeevents_ap_ap_ap_disconnect_locally_offline
ap	radio	capacity_anomaly	nonwifi	eeevents_ap_radio_capacity_anomaly_nonwifi
ap	ap	ap_disconnect	no_ethernet_link	eeevents_ap_ap_ap_disconnect_no_ethernet_link
ap	radio	coverage_anomaly	asymmetry_downlink	eeevents_ap_radio_coverage_anomaly_asymmetry_downlink
ap	radio	radio_stuck	partial_beacon_stuck	eeevents_ap_radio_radio_stuck_partial_beacon_stuck
ap	ap	ap_restart	panic	eeevents_ap_ap_ap_restart_panic
switch	switch_chassis	switch_health	high_cpu_usage	eeevents_switch_switch_chassis_switch_health_high_cpu_usage
ap	radio	capacity_anomaly	client_usage	eeevents_ap_radio_capacity_anomaly_client_usage
ap	radio	coverage_anomaly	asymmetry_uplink	eeevents_ap_radio_coverage_anomaly_asymmetry_uplink
site	site	saturn_anomaly	ARP	eeevents_site_site_saturn_anomaly_ARP
ap	ap	ap_disconnect	no_ip_address	eeevents_ap_ap_ap_disconnect_no_ip_address
ap	ap	ap_restart	silent_reboot	eeevents_ap_ap_ap_restart_silent_reboot
ap	ap	ap_restart	power_cycle	eeevents_ap_ap_ap_restart_power_cycle
site	site	connectivity_failure	failed_scope_authentication	eeevents_site_site_connectivity_failure_failed_scope_authentication
site	site	connectivity_failure	failed_scope_dhcp	eeevents_site_site_connectivity_failure_failed_scope_dhcp
switch	switch_interface	congestion	interface_congestion	eeevents_switch_switch_interface_congestion_interface_congestion
switch	switch_interface	bad_cable	bad_cable	eeevents_switch_switch_interface_bad_cable_bad_cable
ap	ap	ap_disconnect	locally_online	eeevents_ap_ap_ap_disconnect_locally_online
site	site	preconnection_anomaly	authentication	eeevents_site_site_preconnection_anomaly_authentication
ap	ap	bad_cable	bad_cable	eeevents_ap_ap_bad_cable_bad_cable
switch	switch_interface	network_issue	latency	eeevents_switch_switch_interface_network_issue_latency
ap	ap	ap_disconnect	switch_down	eeevents_ap_ap_ap_disconnect_switch_down
ap	radio	coverage_anomaly	weak_signal	eeevents_ap_radio_coverage_anomaly_weak_signal
site	site	connectivity_failure	failed_scope_dns	eeevents_site_site_connectivity_failure_failed_scope_dns
site	site	connectivity_failure	failed_scope_arp	eeevents_site_site_connectivity_failure_failed_scope_arp
site	site	saturn_anomaly	DHCP	eeevents_site_site_saturn_anomaly_DHCP
ap	ap	process_panic	pace_panic	eeevents_ap_ap_process_panic_pace_panic
site	site	saturn_anomaly	DNS	eeevents_site_site_saturn_anomaly_DNS
ap	ap	ap_disconnect	pace_stuck	eeevents_ap_ap_ap_disconnect_pace_stuck
ap	ap	low_memory	user_space_low_memory	eeevents_ap_ap_low_memory_user_space_low_memory
switch	switch_interface	negotiation_mismatch	mtu_mismatch	eeevents_switch_switch_interface_negotiation_mismatch_mtu_mismatch
site	site	preconnection_anomaly	dhcp	eeevents_site_site_preconnection_anomaly_dhcp
ap	ap	ap_restart	upgrade	eeevents_ap_ap_ap_restart_upgrade
switch	switch_interface	switch_port_flap	switch_port_flap	eeevents_switch_switch_interface_switch_port_flap_switch_port_flap
switch	switch_interface	network_issue	jitter	eeevents_switch_switch_interface_network_issue_jitter
ap	ap	ap_disconnect	site_down	eeevents_ap_ap_ap_disconnect_site_down
ap	ap	ap_disconnect	unreachability	eeevents_ap_ap_ap_disconnect_unreachability
ap	radio	capacity_anomaly	cochannel	eeevents_ap_radio_capacity_anomaly_cochannel
