device_type	ev_name	event_node_name
ap	AP_UPGRADE_FAILED	apevents_ap_AP_UPGRADE_FAILED
switch	SW_ALARM_OPTICS_IFACE_RX_LOW	apevents_switch_SW_ALARM_OPTICS_IFACE_RX_LOW
ap	AP_UPGRADE_BY_MIST	apevents_ap_AP_UPGRADE_BY_MIST
switch	SW_PORT_DOWN	apevents_switch_SW_PORT_DOWN
ap	AP_ASSIGNED	apevents_ap_AP_ASSIGNED
switch	SW_PORT_UP	apevents_switch_SW_PORT_UP
switch	SW_CONNECTED	apevents_switch_SW_CONNECTED
ap	AP_RRM_ACTION	apevents_ap_AP_RRM_ACTION
ap	AP_RESTARTED	apevents_ap_AP_RESTARTED
ap	AP_UPGRADED	apevents_ap_AP_UPGRADED
switch	SW_DISCONNECTED	apevents_switch_SW_DISCONNECTED
ap	AP_DISCONNECTED	apevents_ap_AP_DISCONNECTED
ap	AP_CONFIG_CHANGED_BY_RRM	apevents_ap_AP_CONFIG_CHANGED_BY_RRM
switch	SW_CONFIGURED	apevents_switch_SW_CONFIGURED
switch	SW_SYSTEM_SERVICE_RESTART	apevents_switch_SW_SYSTEM_SERVICE_RESTART
ap	AP_CONNECTED	apevents_ap_AP_CONNECTED
ap	AP_RESTART_BY_USER	apevents_ap_AP_RESTART_BY_USER
switch	SW_ALARM_CHASSIS_POE	apevents_switch_SW_ALARM_CHASSIS_POE
switch	SW_DYNAMIC_PORT_ASSIGNED	apevents_switch_SW_DYNAMIC_PORT_ASSIGNED
ap	AP_RADAR_DETECTED	apevents_ap_AP_RADAR_DETECTED
switch	SW_STP_TOPO_CHANGED	apevents_switch_SW_STP_TOPO_CHANGED
switch	SW_RECONFIGURED	apevents_switch_SW_RECONFIGURED
ap	AP_CONFIG_CHANGED_BY_USER	apevents_ap_AP_CONFIG_CHANGED_BY_USER
ap	AP_UPGRADE_BY_SCHEDULE	apevents_ap_AP_UPGRADE_BY_SCHEDULE
ap	AP_CONFIGURED	apevents_ap_AP_CONFIGURED
ap	AP_RECONFIGURED	apevents_ap_AP_RECONFIGURED
switch	SW_ALARM	apevents_switch_SW_ALARM
ap	AP_UNASSIGNED	apevents_ap_AP_UNASSIGNED
