query,mist_url,score,content,content_type,,rank,status 
Auto assignment,,,,,,,
,https://www.mist.com/documentation/occupancy-analytics/,1.3617758,Occupancy Analytics,title,All the links are incorrect. This is same as Auto_provisioning.  https://www.mist.com/documentation/auto-provisioning/,1,0
,https://www.mist.com/documentation/personal-wlans/,1.3362931,Personal WLANs,title,,2,0
,https://www.mist.com/documentation/isolation/,1.3037632,Isolation,title,,3,0
,https://www.mist.com/documentation/what-is-led-telling-me/,1.3000219,https://www.mist.com/documentation/troubleshooting-ap-disconnect-issues/,snippet,,4,0
,https://www.mist.com/documentation/dscp-mapping/,1.2946097,DSCP Mapping,title,,5,0
auto name generation,,,,,,,
,https://www.mist.com/documentation/ap-naming/ ,1.418607,AP Naming,title,We should also add Auto-provisioining link.  This includes name generation  https://www.mist.com/documentation/auto-provisioning/,1,2
,https://www.mist.com/documentation/ap-naming/,1.4061161,AP Naming Bulk AP Naming,subtitle,,2,2
,https://www.mist.com/documentation/ap-naming/,1.3984779,AP Naming Single AP Naming,subtitle,,3,2
,https://www.mist.com/documentation/ap-naming/,1.3753387,AP Naming Customized Automation at your service,subtitle,,4,2
,https://www.mist.com/documentation/personal-wlans/,1.3424207,Personal WLANs,title,,5,0
do I have 2fa enabled?,,,,,,,
,https://www.mist.com/documentation/two-factor-authentication-mobile-authenticator/,1.5279725,Two Factor Authentication (with Mobile Authenticator),title,Good,1,1
,https://www.mist.com/documentation/january-7th-2019-updates/,1.5167838,January 7th 2019 Updates Password reset error with 2-FA,subtitle,,2,2
,https://www.mist.com/documentation/two-factor-authentication-mobile-authenticator/,1.5035065,Two Factor Authentication (with Mobile Authenticator) How do I reset Two Factor Authentication?,subtitle,,3,1
,https://www.mist.com/documentation/february-25th-2021-updates/,1.4944878,By default whenever you go through the password reset process we disable the 2-factor authentication on your account. This is to prevent instances where you will not have a way to recover your account when you lose your authenticator app. To ensure that you are aware of the 2FA getting disabled we are now including a reminder message on our UI when you request a password recovery. Make sure to enable 2FA after you change your password in your Account Settings page ( > My Account).,snippet,,4,2
,https://www.mist.com/documentation/january-21st-2019-updates/,1.4906845,January 21st 2019 Updates Fixed Password reset function for 2FA,subtitle,,5,2
password requirements,,,,,,,
,https://www.mist.com/documentation/mac-authentication/,1.4196447,MAC Authentication,title, Most Mist documentation refers to PSK passwords as passphrase.  Pls try to include passphrase documentations.,1,0
,https://www.mist.com/documentation/site-security-configuration/,1.4142509,Site Security Configuration,title,,2,0
,https://www.mist.com/documentation/wep-security/,1.372689,WEP Security,title,,3,0
,https://www.mist.com/documentation/android-integration/,1.3683519,Android Integration Requirements,subtitle,,4,0
,https://www.mist.com/documentation/guest-portal-social-login/,1.3682114,Guest Portal: Social Login,title,,5,0
special charactor for password,,,,,,,
,https://www.mist.com/documentation/lets-create-new-random-password-guest-portal/,1.4256394,Lets create a new random password for the guest portal,title,Please include passphrase link too.  Mac_auth can be removed as it does not need passwords,1,2
,https://www.mist.com/documentation/lets-create-new-random-password-guest-portal/,1.4070113,Lets create a new random password for the guest portal None,subtitle,,2,2
,https://www.mist.com/documentation/mac-authentication/,1.3544757,MAC Authentication,title,,3,0
,https://www.mist.com/documentation/wep-security/,1.3399454,WEP Security,title,,4,0
,https://www.mist.com/documentation/april-2nd-2020-updates/,1.3328356,April 2nd 2020 Updates 64 Character Name for SSO Role,subtitle,,5,0
generate pcaps,,,,,,,
,https://www.mist.com/documentation/dscp-mapping/,1.3466642,DSCP Mapping,title,,1,0
,https://www.mist.com/documentation/dscp-mapping/,1.292795,DSCP Mapping None,subtitle,,2,0
,https://www.mist.com/documentation/radsec/,1.2883985,RadSec API configuration,subtitle,,3,0
,https://www.mist.com/documentation/dynamic-packet-captures/,1.22142,Dynamic Packet Captures,title,,4,1
