date,papi-internal|gcp|production|es-client-stats-events-v2_fingerprinting
2021-07-01 11:00:00,57
2021-07-01 11:01:00,65
2021-07-01 11:02:00,74
2021-07-01 11:03:00,80
2021-07-01 11:04:00,80
2021-07-01 11:05:00,75
2021-07-01 11:06:00,63
2021-07-01 11:07:00,71
2021-07-01 11:08:00,75
2021-07-01 11:09:00,63
2021-07-01 11:10:00,86
2021-07-01 11:11:00,56
2021-07-01 11:12:00,101
2021-07-01 11:13:00,64
2021-07-01 11:14:00,64
2021-07-01 11:15:00,65
2021-07-01 11:16:00,54
2021-07-01 11:17:00,77
2021-07-01 11:18:00,62
2021-07-01 11:19:00,71
2021-07-01 11:20:00,54
2021-07-01 11:21:00,70
2021-07-01 11:22:00,77
2021-07-01 11:23:00,61
2021-07-01 11:24:00,86
2021-07-01 11:25:00,79
2021-07-01 11:26:00,77
2021-07-01 11:27:00,88
2021-07-01 11:28:00,75
2021-07-01 11:29:00,90
2021-07-01 11:30:00,58
2021-07-01 11:31:00,80
2021-07-01 11:32:00,69
2021-07-01 11:33:00,66
2021-07-01 11:34:00,68
2021-07-01 11:35:00,72
2021-07-01 11:36:00,69
2021-07-01 11:37:00,92
2021-07-01 11:38:00,88
2021-07-01 11:39:00,96
2021-07-01 11:40:00,66
2021-07-01 11:41:00,85
2021-07-01 11:42:00,90
2021-07-01 11:43:00,106
2021-07-01 11:44:00,104
2021-07-01 11:45:00,72
2021-07-01 11:46:00,87
2021-07-01 11:47:00,102
2021-07-01 11:48:00,71
2021-07-01 11:49:00,112
2021-07-01 11:50:00,97
2021-07-01 11:51:00,89
2021-07-01 11:52:00,112
2021-07-01 11:53:00,88
2021-07-01 11:54:00,116
2021-07-01 11:55:00,105
2021-07-01 11:56:00,103
2021-07-01 11:57:00,113
2021-07-01 11:58:00,130
2021-07-01 11:59:00,129
2021-07-01 12:00:00,144
2021-07-01 12:01:00,104
2021-07-01 12:02:00,130
2021-07-01 12:03:00,137
2021-07-01 12:04:00,112
2021-07-01 12:05:00,170
2021-07-01 12:06:00,105
2021-07-01 12:07:00,135
2021-07-01 12:08:00,147
2021-07-01 12:09:00,124
2021-07-01 12:10:00,144
2021-07-01 12:11:00,118
2021-07-01 12:12:00,180
2021-07-01 12:13:00,141
2021-07-01 12:14:00,101
2021-07-01 12:15:00,129
2021-07-01 12:16:00,98
2021-07-01 12:17:00,134
2021-07-01 12:18:00,127
2021-07-01 12:19:00,107
2021-07-01 12:20:00,143
2021-07-01 12:21:00,114
2021-07-01 12:22:00,135
2021-07-01 12:23:00,138
2021-07-01 12:24:00,143
2021-07-01 12:25:00,161
2021-07-01 12:26:00,122
2021-07-01 12:27:00,172
2021-07-01 12:28:00,129
2021-07-01 12:29:00,139
2021-07-01 12:30:00,181
2021-07-01 12:31:00,145
2021-07-01 12:32:00,167
2021-07-01 12:33:00,112
2021-07-01 12:34:00,146
2021-07-01 12:35:00,159
2021-07-01 12:36:00,114
2021-07-01 12:37:00,174
2021-07-01 12:38:00,111
2021-07-01 12:39:00,177
2021-07-01 12:40:00,197
2021-07-01 12:41:00,125
2021-07-01 12:42:00,204
2021-07-01 12:43:00,165
2021-07-01 12:44:00,176
2021-07-01 12:45:00,181
2021-07-01 12:46:00,162
2021-07-01 12:47:00,199
2021-07-01 12:48:00,154
2021-07-01 12:49:00,188
2021-07-01 12:50:00,199
2021-07-01 12:51:00,154
2021-07-01 12:52:00,198
2021-07-01 12:53:00,153
2021-07-01 12:54:00,201
2021-07-01 12:55:00,179
2021-07-01 12:56:00,155
2021-07-01 12:57:00,231
2021-07-01 12:58:00,133
2021-07-01 12:59:00,208
2021-07-01 13:00:00,246
2021-07-01 13:01:00,178
2021-07-01 13:02:00,265
2021-07-01 13:03:00,167
2021-07-01 13:04:00,234
2021-07-01 13:05:00,215
2021-07-01 13:06:00,156
2021-07-01 13:07:00,225
2021-07-01 13:08:00,199
2021-07-01 13:09:00,182
2021-07-01 13:10:00,266
2021-07-01 13:11:00,140
2021-07-01 13:12:00,251
2021-07-01 13:13:00,199
2021-07-01 13:14:00,178
2021-07-01 13:15:00,223
2021-07-01 13:16:00,227
2021-07-01 13:17:00,220
2021-07-01 13:18:00,248
2021-07-01 13:19:00,186
2021-07-01 13:20:00,235
2021-07-01 13:21:00,148
2021-07-01 13:22:00,218
2021-07-01 13:23:00,219
2021-07-01 13:24:00,201
2021-07-01 13:25:00,222
2021-07-01 13:26:00,195
2021-07-01 13:27:00,267
