+------------+-------------+------+
|ap_id       |radar_channel|weight|
+------------+-------------+------+
|5c5b352f0b76|100          |0.4   |
|5c5b35bf21d3|120          |0.6   |
|5c5b35bf21d3|132          |0.4   |
|5c5b35bf220f|116          |0.6   |
|5c5b35bf220f|116          |0.6   |
|5c5b35bf2214|100          |0.4   |
|5c5b35bf2214|64           |0.4   |
|5c5b35bf2273|136          |0.4   |
|5c5b35bf2273|64           |0.4   |
|5c5b35bf2282|120          |0.6   |
|5c5b35bf2282|140          |0.4   |
|5c5b35bf2287|56           |0.4   |
|5c5b35bf2287|60           |0.4   |
|5c5b35bf228c|132          |0.4   |
|5c5b35bf228c|140          |0.4   |
|5c5b35bf2296|128          |0.6   |
|5c5b35bf2296|52           |0.4   |
|5c5b35bf22af|104          |0.4   |
|5c5b35bf22af|104          |0.4   |
|5c5b35bf22be|52           |0.4   |
|5c5b35bf22c3|120          |0.6   |
|5c5b35bf22c3|132          |0.4   |
|5c5b35bf22eb|104          |0.4   |
|5c5b35bf22eb|112          |0.4   |
|5c5b35bf22f0|128          |0.6   |
|5c5b35bf22f0|56           |0.4   |
|5c5b35bf22fa|108          |0.4   |
|5c5b35bf2304|116          |0.6   |
|5c5b35bf2304|140          |0.4   |
|5c5b35bf2318|56           |0.4   |
|5c5b35bf2336|140          |0.4   |
|5c5b35bf2336|140          |0.4   |
|5c5b35bf234a|104          |0.4   |
|5c5b35bf234f|128          |0.6   |
|5c5b35bf2354|140          |0.4   |
|5c5b35bf2368|140          |0.4   |
|5c5b35bf2368|52           |0.4   |
|5c5b35bf2426|112          |0.4   |
|5c5b35bf2426|116          |0.6   |
|5c5b35bf2426|56           |0.4   |
|5c5b35bf2476|104          |0.4   |
|5c5b35bf2476|116          |0.6   |
|5c5b35bf2557|108          |0.4   |
|5c5b35bf2557|128          |0.6   |
|5c5b35bf263d|116          |0.6   |
|5c5b35bf263d|64           |0.4   |
|5c5b35bf2665|100          |0.4   |
|5c5b35bf2665|100          |0.4   |
|5c5b35bf2688|120          |0.6   |
|5c5b35bf26b5|140          |0.4   |
|5c5b35bf26b5|60           |0.4   |
|5c5b35bf26b5|64           |0.4   |
|5c5b35bf26ba|100          |0.4   |
|5c5b35bf26ce|108          |0.4   |
|5c5b35bf26d3|104          |0.4   |
|5c5b35bf26d3|104          |0.4   |
|d420b0008b33|128          |0.6   |
|d420b0008b33|60           |0.4   |
|d420b0008b6a|64           |0.4   |
|d420b0008b8d|64           |0.4   |
|d420b0008ba6|132          |0.4   |
|d420b0008d4a|128          |0.6   |
|d420b0008d4a|64           |0.4   |
|d420b0008d4a|64           |0.64  |
|d420b0008e2b|128          |0.6   |
|d420b0008e6c|112          |0.4   |
|d420b0008e85|64           |0.4   |
|d420b0008e85|64           |0.4   |
|d420b0008ea8|60           |0.4   |
|d420b0008ead|100          |0.4   |
|d420b0008ecb|52           |0.4   |
|d420b0008ed0|100          |0.4   |
|d420b0008ed0|100          |0.4   |
|d420b0008edf|136          |0.4   |
|d420b0008ee9|108          |0.4   |
|d420b0008f84|56           |0.4   |
|d420b0008f84|56           |0.4   |
|d420b0009024|52           |0.4   |
|d420b0009029|128          |0.6   |
|d420b000902e|60           |0.4   |
|d420b000902e|64           |0.4   |
|d420b0009038|116          |0.6   |
|d420b0009038|56           |0.4   |
|d420b000903d|60           |0.4   |
|d420b000903d|64           |0.4   |
|d420b0009042|52           |0.4   |
|d420b000904c|128          |0.6   |
|d420b000904c|60           |0.4   |
|d420b0009051|140          |0.4   |
|d420b0009056|56           |0.4   |
|d420b0009060|136          |0.4   |
|d420b0009065|128          |0.6   |
|d420b0009065|56           |0.4   |
|d420b0009065|60           |0.4   |
|d420b0009065|60           |0.4   |
|d420b000906a|100          |0.4   |
|d420b000906f|52           |0.4   |
|d420b0009079|64           |0.4   |
|d420b000907e|104          |0.4   |
|d420b000907e|56           |0.4   |
|d420b0009083|112          |0.4   |
|d420b0009083|120          |0.6   |
|d420b0009083|56           |0.4   |
|d420b0009088|64           |0.4   |
|d420b000908d|112          |0.4   |
|d420b000908d|64           |0.4   |
|d420b0009092|136          |0.4   |
|d420b000909c|140          |0.4   |
|d420b00090a1|116          |0.6   |
|d420b00090a1|120          |0.6   |
|d420b00090a1|56           |0.4   |
|d420b00090a6|108          |0.4   |
|d420b00090a6|56           |0.4   |
|d420b00090b5|100          |0.4   |
|d420b00090b5|56           |0.4   |
|d420b00090ba|100          |0.4   |
|d420b00090c4|100          |0.4   |
|d420b00090c4|104          |0.4   |
|d420b00090c4|128          |0.84  |
|d420b00090d8|128          |0.6   |
|d420b00090d8|128          |0.6   |
|d420b00090dd|136          |0.4   |
|d420b00090e2|116          |0.6   |
|d420b00090e7|100          |0.4   |
|d420b00090ec|128          |0.6   |
|d420b00090f6|56           |0.4   |
|d420b000910f|112          |0.4   |
|d420b000911e|60           |0.4   |
|d420b000911e|64           |0.4   |
|d420b0009691|116          |0.6   |
|d420b0009691|128          |0.6   |
|d420b000969b|140          |0.4   |
|d420b00096d2|104          |0.4   |
|d420b00096d2|112          |0.4   |
|d420b00096d2|128          |0.6   |
|d420b00096dc|104          |0.4   |
|d420b00096dc|64           |0.4   |
|d420b00096dc|64           |0.4   |
|d420b00096f5|132          |0.4   |
+------------+-------------+------+

